series,country,x_position,value,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label,value_unit
series_0,,0,-42.76,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,1,-43.02,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,6,-43.209999999999994,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,9,-44.12,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,10,-42.75,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,10,-42.78,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,53,0.0,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,52,0.0,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,57,0.0,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,55,0.0,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,63,0.0,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,63,0.0,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,65,0.0,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,65,0.0,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,120,-31.87,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,120,-31.65,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,125,-31.985,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,125,-31.84,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,130,-0.53,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,130,-9.76,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,135,-1.04,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,136,-9.435,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,140,-0.49,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,140,-0.38,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,146,-18.880000000000003,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,148,-11.334999999999999,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,150,-18.86,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,150,-18.45,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,155,-5.24,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,156,-16.57,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,160,-27.369999999999997,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,160,-5.49,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_0,,165,-35.519999999999996,184,46,61,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,165,-34.78,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,183,-17.68,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,185,-17.72,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
series_1,,197,-26.064999999999998,216,133,126,CIT Revenue Change vs DBCFT Adoption (Negative Range Focus),Scatter plot focusing on countries with negative revenue changes from both CIT and DBCFT adoption,"DBCFT Adoption, Revenue Percent Change","CIT Revenue, Percent Change",percent
