series,country,x_position,value,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label,value_unit
series_1,,11,-56.010000000000005,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,15,-45.27,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,20,-30.369999999999997,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,26,-22.86,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,33,-23.215,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,35,-23.395000000000003,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,40,-23.725,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,62,-7.47,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,63,-17.05,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,66,4.75,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,65,52.925000000000004,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,71,-9.48,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,70,114.2,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,75,-25.695,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,75,85.07,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,80,40.87,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,80,74.99,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,85,40.87,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,85,9.78,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,90,55.17,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,90,8.004999999999999,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,95,40.87,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,99,71.6,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,100,40.87,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,101,73.235,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,105,199.63,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_1,,108,72.95,87,135,188,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,110,200.0,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,116,120.66499999999999,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,120,91.26,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,125,18.76,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,135,-120.74000000000001,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,140,-131.61,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
series_0,,195,72.83,185,74,90,Net IIP vs Trade Balance by Country,Scatter plot showing relationship between trade balance and net international investment position,"Trade Balance, Percent of GDP","Net IIP, Percent of GDP",percent
