series,x_position,value,color_r,color_g,color_b
series_1,9,1.1320754716981132,71,128,186
series_1,10,1.1320754716981132,71,128,186
series_1,11,1.1320754716981132,71,128,186
series_1,12,1.1320754716981132,71,128,186
series_1,13,1.509433962264151,71,128,186
series_1,14,1.509433962264151,71,128,186
series_1,15,1.8867924528301887,71,128,186
series_1,16,3.7735849056603774,71,128,186
series_1,17,3.7735849056603774,71,128,186
series_1,18,4.150943396226415,71,128,186
series_1,19,4.150943396226415,71,128,186
series_1,20,4.150943396226415,71,128,186
series_1,21,4.150943396226415,71,128,186
series_1,22,4.150943396226415,71,128,186
series_1,23,4.150943396226415,71,128,186
series_1,24,7.547169811320755,71,128,186
series_1,25,7.547169811320755,71,128,186
series_1,26,7.9245283018867925,71,128,186
series_1,27,7.9245283018867925,71,128,186
series_1,28,7.9245283018867925,71,128,186
series_1,29,7.9245283018867925,71,128,186
series_1,30,8.30188679245283,71,128,186
series_1,31,8.30188679245283,71,128,186
series_1,32,8.30188679245283,71,128,186
series_1,33,8.30188679245283,71,128,186
series_1,34,9.056603773584905,71,128,186
series_1,35,9.056603773584905,71,128,186
series_1,36,9.433962264150944,71,128,186
series_1,37,9.811320754716983,71,128,186
series_1,38,10.18867924528302,71,128,186
series_1,39,10.566037735849058,71,128,186
series_1,40,11.320754716981133,71,128,186
series_1,41,11.320754716981133,71,128,186
series_1,42,12.452830188679245,71,128,186
series_1,43,12.830188679245284,71,128,186
series_1,44,12.830188679245284,71,128,186
series_1,45,13.962264150943396,71,128,186
series_1,46,13.962264150943396,71,128,186
series_1,47,14.339622641509434,71,128,186
series_1,48,14.339622641509434,71,128,186
series_1,49,15.09433962264151,71,128,186
series_1,50,15.09433962264151,71,128,186
series_1,51,16.60377358490566,71,128,186
series_1,52,16.60377358490566,71,128,186
series_1,53,16.60377358490566,71,128,186
series_1,54,16.60377358490566,71,128,186
series_1,55,16.9811320754717,71,128,186
series_1,56,16.9811320754717,71,128,186
series_1,57,16.9811320754717,71,128,186
series_1,58,16.9811320754717,71,128,186
series_1,59,16.9811320754717,71,128,186
series_1,60,16.9811320754717,71,128,186
series_1,61,17.358490566037734,71,128,186
series_1,62,17.358490566037734,71,128,186
series_1,63,17.735849056603772,71,128,186
series_1,64,17.735849056603772,71,128,186
series_1,65,18.49056603773585,71,128,186
series_1,66,18.49056603773585,71,128,186
series_1,67,18.49056603773585,71,128,186
series_1,68,18.49056603773585,71,128,186
series_1,69,19.622641509433965,71,128,186
series_1,70,19.622641509433965,71,128,186
series_1,71,19.622641509433965,71,128,186
series_1,72,19.622641509433965,71,128,186
series_1,73,20.0,71,128,186
series_1,74,20.0,71,128,186
series_1,75,20.37735849056604,71,128,186
series_1,76,20.37735849056604,71,128,186
series_1,77,20.37735849056604,71,128,186
series_1,78,20.37735849056604,71,128,186
series_1,79,20.754716981132077,71,128,186
series_1,80,23.39622641509434,71,128,186
series_1,81,23.39622641509434,71,128,186
series_1,82,23.39622641509434,71,128,186
series_1,83,23.39622641509434,71,128,186
series_1,84,24.150943396226417,71,128,186
series_1,85,24.150943396226417,71,128,186
series_1,86,24.528301886792452,71,128,186
series_1,87,24.528301886792452,71,128,186
series_1,88,25.660377358490567,71,128,186
series_1,89,25.28301886792453,71,128,186
series_1,90,27.547169811320753,71,128,186
series_1,91,27.547169811320753,71,128,186
series_1,92,28.30188679245283,71,128,186
series_1,93,28.30188679245283,71,128,186
series_1,94,28.30188679245283,71,128,186
series_1,95,28.30188679245283,71,128,186
series_1,96,30.566037735849054,71,128,186
series_1,97,30.566037735849054,71,128,186
series_1,98,30.943396226415093,71,128,186
series_1,99,30.943396226415093,71,128,186
series_2,1,100.0,176,180,192
series_2,20,4.528301886792453,176,180,192
series_2,24,7.9245283018867925,176,180,192
series_2,25,7.9245283018867925,176,180,192
series_2,26,7.9245283018867925,176,180,192
