series,x_position,country,value_normalized,value,value_unit,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label
series_0,21,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,22,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,23,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,24,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,25,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,26,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,27,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,28,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,29,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,30,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,31,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,32,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,33,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,34,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,35,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,36,Trade deficit,51.25448028673835,2.050179211469534,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,37,Trade deficit,89.96415770609319,3.5985663082437274,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,38,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,39,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,40,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,41,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,42,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,43,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,44,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,45,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,46,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,47,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,48,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,49,Trade deficit,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,50,Trade surplus,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,51,Trade surplus,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,52,Trade surplus,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,53,Trade surplus,89.6057347670251,3.584229390681004,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,54,Trade surplus,89.96415770609319,3.5985663082437274,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,82,Trade surplus,73.83512544802868,2.9534050179211473,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,83,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,84,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,85,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,86,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,87,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,88,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,89,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,90,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,91,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,92,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,93,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,94,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,95,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,96,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,97,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,98,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_0,99,Trade surplus,74.19354838709677,2.9677419354838706,percent,199,153,155,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_1,4,Trade deficit,60.93189964157706,2.4372759856630823,percent,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_1,5,Trade deficit,60.93189964157706,2.4372759856630823,percent,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_1,6,Trade deficit,60.93189964157706,2.4372759856630823,percent,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_1,7,Trade deficit,60.93189964157706,2.4372759856630823,percent,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_1,8,Trade deficit,60.93189964157706,2.4372759856630823,percent,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_1,9,Trade deficit,60.93189964157706,2.4372759856630823,percent,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
series_1,10,Trade deficit,60.93189964157706,2.4372759856630823,percent,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP
