series,x_position,country,value_normalized,value,value_unit,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label
series_0,0,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,1,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,2,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,3,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,4,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,5,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,6,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,7,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,8,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,9,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,10,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,11,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,12,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,13,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,14,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,15,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,16,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,17,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,18,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,19,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,20,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,21,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,22,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,23,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
series_0,24,,58.18815331010453,58.18815331010453,,156,149,152,Decline in MNE Tax Revenue by Country (Four Countries),Four-panel time series showing decline in MNE (Multinational Enterprise) tax revenue as percent of tax revenue,,
