series,x_position,value,color_r,color_g,color_b
series_0,2,51.48148148148148,126,165,204
series_0,3,51.11111111111111,126,165,204
series_0,4,73.33333333333333,126,165,204
series_0,5,73.33333333333333,126,165,204
series_0,7,59.62962962962963,126,165,204
series_0,9,34.44444444444444,126,165,204
series_0,10,34.44444444444444,126,165,204
series_0,12,47.77777777777778,126,165,204
series_0,14,33.7037037037037,126,165,204
series_0,15,34.074074074074076,126,165,204
series_0,17,44.074074074074076,126,165,204
series_0,19,36.2962962962963,126,165,204
series_0,20,36.2962962962963,126,165,204
series_0,21,50.0,126,165,204
series_0,22,49.629629629629626,126,165,204
series_0,24,43.333333333333336,126,165,204
series_0,25,42.96296296296296,126,165,204
series_0,26,35.92592592592593,126,165,204
series_0,27,36.2962962962963,126,165,204
series_0,29,41.11111111111111,126,165,204
series_0,30,40.74074074074074,126,165,204
series_0,31,37.77777777777778,126,165,204
series_0,32,38.51851851851852,126,165,204
series_0,34,31.851851851851855,126,165,204
series_0,36,35.18518518518518,126,165,204
series_0,37,35.18518518518518,126,165,204
series_0,39,32.592592592592595,126,165,204
series_0,41,38.51851851851852,126,165,204
series_0,42,38.51851851851852,126,165,204
series_0,44,37.03703703703704,126,165,204
series_0,46,31.48148148148148,126,165,204
series_0,47,31.11111111111111,126,165,204
series_0,48,34.44444444444444,126,165,204
series_0,49,34.44444444444444,126,165,204
series_0,51,33.7037037037037,126,165,204
series_0,52,33.7037037037037,126,165,204
series_0,53,33.7037037037037,126,165,204
series_0,54,33.33333333333333,126,165,204
series_0,56,36.2962962962963,126,165,204
series_0,57,36.2962962962963,126,165,204
series_0,58,31.11111111111111,126,165,204
series_0,59,31.851851851851855,126,165,204
series_0,61,34.81481481481482,126,165,204
series_0,63,34.44444444444444,126,165,204
series_0,64,34.44444444444444,126,165,204
series_0,66,28.888888888888886,126,165,204
series_0,68,36.2962962962963,126,165,204
series_0,69,36.2962962962963,126,165,204
series_0,71,32.22222222222222,126,165,204
series_0,73,40.74074074074074,126,165,204
series_0,74,40.74074074074074,126,165,204
series_0,76,40.0,126,165,204
series_0,78,38.148148148148145,126,165,204
series_0,79,38.148148148148145,126,165,204
series_0,80,36.2962962962963,126,165,204
series_0,81,36.2962962962963,126,165,204
series_0,83,36.666666666666664,126,165,204
series_0,84,21.11111111111111,126,165,204
series_0,85,42.96296296296296,126,165,204
series_0,86,42.96296296296296,126,165,204
series_0,88,36.2962962962963,126,165,204
series_0,90,37.77777777777778,126,165,204
series_0,91,37.77777777777778,126,165,204
series_0,93,29.259259259259256,126,165,204
series_0,95,45.55555555555556,126,165,204
series_0,96,45.55555555555556,126,165,204
series_0,98,30.0,126,165,204
series_1,3,20.74074074074074,209,119,129
series_1,5,35.55555555555556,209,119,129
series_1,6,35.55555555555556,209,119,129
series_1,8,34.44444444444444,209,119,129
series_1,10,20.37037037037037,209,119,129
series_1,11,20.74074074074074,209,119,129
series_1,13,32.592592592592595,209,119,129
series_1,15,21.11111111111111,209,119,129
series_1,16,21.11111111111111,209,119,129
series_1,18,30.37037037037037,209,119,129
series_1,20,24.444444444444443,209,119,129
series_1,21,24.074074074074073,209,119,129
series_1,22,39.25925925925926,209,119,129
series_1,23,39.25925925925926,209,119,129
series_1,25,33.7037037037037,209,119,129
series_1,26,33.7037037037037,209,119,129
series_1,27,27.037037037037038,209,119,129
series_1,28,27.40740740740741,209,119,129
series_1,30,32.96296296296296,209,119,129
series_1,32,30.74074074074074,209,119,129
series_1,33,30.74074074074074,209,119,129
series_1,35,24.444444444444443,209,119,129
series_1,37,27.77777777777778,209,119,129
series_1,38,27.77777777777778,209,119,129
series_1,40,27.77777777777778,209,119,129
series_1,42,34.074074074074076,209,119,129
series_1,43,34.074074074074076,209,119,129
series_1,45,33.33333333333333,209,119,129
series_1,47,30.0,209,119,129
series_1,48,30.0,209,119,129
series_1,49,21.11111111111111,209,119,129
series_1,50,33.33333333333333,209,119,129
series_1,52,32.96296296296296,209,119,129
series_1,53,32.96296296296296,209,119,129
series_1,54,33.33333333333333,209,119,129
series_1,55,33.33333333333333,209,119,129
series_1,57,36.2962962962963,209,119,129
series_1,59,31.851851851851855,209,119,129
series_1,60,31.851851851851855,209,119,129
series_1,62,35.55555555555556,209,119,129
series_1,64,36.2962962962963,209,119,129
series_1,65,36.2962962962963,209,119,129
series_1,67,31.11111111111111,209,119,129
series_1,69,38.51851851851852,209,119,129
series_1,70,38.51851851851852,209,119,129
series_1,72,35.18518518518518,209,119,129
series_1,74,43.7037037037037,209,119,129
series_1,75,42.96296296296296,209,119,129
series_1,76,42.96296296296296,209,119,129
series_1,77,43.333333333333336,209,119,129
series_1,79,41.48148148148148,209,119,129
series_1,80,41.11111111111111,209,119,129
series_1,81,41.85185185185185,209,119,129
series_1,82,42.22222222222222,209,119,129
series_1,84,42.96296296296296,209,119,129
series_1,85,42.592592592592595,209,119,129
series_1,86,50.0,209,119,129
series_1,87,50.0,209,119,129
series_1,89,43.333333333333336,209,119,129
series_1,91,46.2962962962963,209,119,129
series_1,92,46.2962962962963,209,119,129
series_1,94,37.77777777777778,209,119,129
series_1,96,54.44444444444444,209,119,129
series_1,97,54.44444444444444,209,119,129
series_1,99,39.62962962962963,209,119,129
series_2,2,51.11111111111111,202,192,201
series_2,3,21.11111111111111,202,192,201
series_2,4,21.11111111111111,202,192,201
series_2,5,72.96296296296296,202,192,201
series_2,6,35.92592592592593,202,192,201
series_2,8,34.44444444444444,202,192,201
series_2,10,21.11111111111111,202,192,201
series_2,11,21.11111111111111,202,192,201
series_2,13,32.96296296296296,202,192,201
