series,country,x_position,value,color_r,color_g,color_b,plot_title,plot_description,x_axis_label,y_axis_label,value_unit
series_2,,0,4.0,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_1,,6,2.71,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_2,,6,2.71,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_1,,9,2.71,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_2,,9,2.71,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_1,,12,2.71,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_2,,12,2.71,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_1,,15,2.71,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_2,,15,2.71,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_0,,20,2.36,199,153,156,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_1,,18,2.71,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_2,,18,2.71,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_0,,21,2.36,199,153,156,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_1,,21,2.36,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_2,,21,2.37,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_0,,24,2.36,199,153,156,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_1,,24,2.36,141,162,183,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_2,,24,2.37,191,191,191,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
series_0,,27,2.36,199,153,156,Tax Revenue Comparison by Trade Balance Status,"Comparison of current revenue, CFT revenue, and DBCFT revenue for countries with trade deficit vs surplus",Trade Status,Percent of GDP,percent
